Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Place,Latitude,Longitude
25,1,49,91107,4,19.200000000000003,1,0,0,1,0,0,0,Los Angeles County,34.162,-118.0894
45,19,34,90089,3,18.0,1,0,0,1,0,0,0,Los Angeles County,34.0218,-118.2883
39,15,11,94720,1,12.0,1,0,0,0,0,0,0,Alameda County,37.8746,-122.2547
35,9,100,94112,1,32.400000000000006,2,0,0,0,0,0,0,San Francisco County,37.7217,-122.4446
35,8,45,91330,4,12.0,2,0,0,0,0,0,1,Los Angeles County,34.2429,-118.5273
37,13,29,92121,4,4.800000000000001,2,155,0,0,0,1,0,San Diego County,32.9003,-117.2067
53,27,72,91711,2,18.0,2,0,0,0,0,1,0,Los Angeles County,34.1223,-117.7143
50,24,22,93943,1,3.5999999999999996,3,0,0,0,0,0,1,Monterey County,36.5972,-121.8729
35,10,81,90089,3,7.199999999999999,2,104,0,0,0,1,0,Los Angeles County,34.0218,-118.2883
34,9,180,93023,1,106.80000000000001,3,0,1,0,0,0,0,Ventura County,34.521,-119.2477
65,39,105,94710,4,28.799999999999997,3,0,0,0,0,0,0,Alameda County,37.8715,-122.3071
29,5,45,90277,3,1.2000000000000002,2,0,0,0,0,1,0,Los Angeles County,33.8308,-118.3875
48,23,114,93106,2,45.599999999999994,3,0,0,1,0,0,0,Santa Barbara County,34.4144,-119.8475
59,32,40,94920,4,30.0,2,0,0,0,0,1,0,Marin County,37.8865,-122.4628
67,41,112,91741,1,24.0,1,0,0,1,0,0,0,Los Angeles County,34.1545,-117.8409
60,30,22,95054,1,18.0,3,0,0,0,0,1,1,Santa Clara County,37.3963,-121.9614
38,14,130,95010,4,56.400000000000006,3,134,1,0,0,0,0,Santa Cruz County,36.9759,-121.9539
42,18,81,94305,4,28.799999999999997,1,0,0,0,0,0,0,Santa Clara County,37.424,-122.1676
46,21,193,91604,2,97.19999999999999,3,0,1,0,0,0,0,Los Angeles County,34.1391,-118.3915
55,28,21,94720,1,6.0,2,0,0,1,0,0,1,Alameda County,37.8746,-122.2547
56,31,25,94015,4,10.8,2,111,0,0,0,1,0,San Mateo County,37.676,-122.4762
57,27,63,90095,3,24.0,3,0,0,0,0,1,0,Los Angeles County,34.071,-118.4432
29,5,62,90277,1,14.399999999999999,1,260,0,0,0,1,0,Los Angeles County,33.8308,-118.3875
44,18,43,91320,2,8.399999999999999,1,163,0,1,0,0,0,Ventura County,34.1425,-118.9762
36,11,152,95521,2,46.8,1,159,0,0,0,0,1,Humboldt County,40.8396,-124.0384
43,19,29,94305,3,6.0,1,97,0,0,0,1,0,Santa Clara County,37.424,-122.1676
40,16,83,95064,4,2.4000000000000004,3,0,0,0,0,0,0,Santa Cruz County,37.0007,-122.068
46,20,158,90064,1,28.799999999999997,1,0,0,0,0,1,1,Los Angeles County,34.0371,-118.4279
56,30,48,94539,1,26.400000000000002,3,0,0,0,0,1,1,Alameda County,37.5288,-121.9103
38,13,119,94104,1,39.599999999999994,2,0,1,0,1,1,1,San Francisco County,37.791,-122.4019
59,35,35,93106,1,14.399999999999999,3,122,0,0,0,1,0,Santa Barbara County,34.4144,-119.8475
40,16,29,94117,1,24.0,2,0,0,0,0,1,0,San Francisco County,37.7692,-122.4425
53,28,41,94801,2,7.199999999999999,3,193,0,0,0,0,0,Contra Costa County,37.9582,-122.3799
30,6,18,91330,3,10.8,3,0,0,0,0,0,0,Los Angeles County,34.2429,-118.5273
31,5,50,94035,4,21.6,3,0,0,0,0,1,0,Santa Clara County,37.415,-122.0517
48,24,81,92647,3,8.399999999999999,1,0,0,0,0,0,0,Orange County,33.7268,-118.0069
59,35,121,94720,1,34.8,1,0,0,0,0,0,1,Alameda County,37.8746,-122.2547
51,25,71,95814,1,16.799999999999997,3,198,0,0,0,0,0,Sacramento County,38.5817,-121.4959
42,18,141,94114,3,60.0,3,0,1,1,1,1,0,San Francisco County,37.7582,-122.4395
38,13,80,94115,4,8.399999999999999,3,285,0,0,0,1,0,San Francisco County,37.786,-122.4373
57,32,84,92672,3,19.200000000000003,3,0,0,1,0,0,0,Orange County,33.3929,-117.5296
34,9,60,94122,3,27.599999999999998,1,0,0,0,0,0,0,San Francisco County,37.762,-122.4831
32,7,132,90019,4,13.200000000000001,2,412,1,0,0,1,0,Los Angeles County,34.0485,-118.3395
39,15,45,95616,1,8.399999999999999,1,0,0,0,0,1,0,Yolo County,38.563,-121.816
46,20,104,94065,1,68.4,1,0,0,0,0,1,1,San Mateo County,37.5348,-122.2471
57,31,52,94720,4,30.0,1,0,0,0,0,0,1,Alameda County,37.8746,-122.2547
39,14,43,95014,3,8.399999999999999,2,153,0,0,0,1,0,Santa Clara County,37.2943,-122.0944
